Data Timestamp,WS MAX MS,WS MAX KT,WS MAX KM,TEMP MIN DEG,TEMP MAX DEG,RH MIN %,RH MAX %,DP MIN %,DP MAX %,QFE MIN %,QFE MAX %,QFF MIN %,QFF MAX %,IRAD SUM JM2,IRAD SUM MJM2,RAIN SUM MM
2019-10-23 00:00:00 +06,2.8,5.4,10.1,22.9,29.9,63.9,95.0,22.5,25.6,1006.7,1011.0,1007.7,1012.0,122142,0.12214200000000000000,0.0
2019-10-24 00:00:00 +06,5.6,10.9,20.2,19.0,23.4,77.1,95.0,17.8,23.4,1008.7,1013.3,1009.7,1014.2,64990,0.06499000000000000000,0.0
2019-10-25 00:00:00 +06,6.0,11.7,21.6,19.0,23.0,83.5,95.0,19.0,22.7,1008.2,1012.6,1009.1,1013.5,70984,0.07098400000000000000,0.0
2019-10-26 00:00:00 +06,6.0,11.7,21.6,21.6,24.8,86.6,95.0,20.7,23.5,1008.3,1012.4,1009.3,1013.3,64842,0.06484200000000000000,0.0
2019-10-27 00:00:00 +06,4.3,8.4,15.5,20.2,27.3,65.4,94.1,20.0,22.5,1009.2,1013.8,1010.2,1014.7,177469,0.17746900000000000000,0.0
2019-10-28 00:00:00 +06,3.4,6.6,12.2,19.5,29.3,62.9,95.0,19.4,23.7,1009.6,1014.2,1010.6,1015.2,199853,0.19985300000000000000,0.0
2019-10-29 00:00:00 +06,3.1,6.0,11.2,19.7,30.5,57.3,93.4,19.2,24.5,1009.7,1014.1,1010.7,1015.1,206923,0.20692300000000000000,0.0
2019-10-30 00:00:00 +06,3.2,6.2,11.5,20.9,30.4,56.2,91.6,20.3,24.2,1008.5,1012.9,1009.5,1013.9,196575,0.19657500000000000000,0.0
2019-10-31 00:00:00 +06,2.8,5.4,10.1,20.6,30.6,53.0,92.7,20.1,23.2,1007.9,1012.1,1008.9,1013.1,195481,0.19548100000000000000,0.0
2019-11-01 00:00:00 +06,3.6,7.0,13.0,20.6,29.9,55.1,93.9,20.2,23.9,1007.5,1012.6,1008.5,1013.6,172765,0.17276500000000000000,0.0
2019-11-02 00:00:00 +06,2.2,4.3,7.9,20.0,29.8,55.8,94.4,19.6,23.8,1008.2,1012.8,1009.2,1013.8,212711,0.21271100000000000000,0.0
2019-11-03 00:00:00 +06,2.8,5.4,10.1,20.8,29.6,57.3,95.0,20.0,24.1,1008.1,1012.8,1009.1,1013.8,174240,0.17424000000000000000,0.0
2019-11-04 00:00:00 +06,3.1,6.0,11.2,20.7,30.1,50.7,95.0,19.6,23.1,1008.0,1013.3,1009.0,1014.3,186783,0.18678300000000000000,0.0
2019-11-05 00:00:00 +06,3.5,6.8,12.6,20.5,29.6,54.4,95.0,19.9,23.1,1006.4,1011.8,1007.4,1012.8,171113,0.17111300000000000000,0.0
2019-11-06 00:00:00 +06,3.3,6.4,11.9,20.7,29.0,62.1,94.4,19.0,23.3,1005.8,1010.7,1006.8,1011.7,148836,0.14883600000000000000,0.0
2019-11-07 00:00:00 +06,4.4,8.6,15.8,18.5,29.4,58.0,94.7,18.3,23.9,1006.8,1011.0,1007.8,1012.0,177276,0.17727600000000000000,0.0
2019-11-08 00:00:00 +06,3.9,7.6,14.0,20.8,27.4,62.9,95.0,19.6,23.2,1008.7,1012.4,1009.6,1013.3,71685,0.07168500000000000000,0.0
2019-11-09 00:00:00 +06,7.9,15.4,28.4,20.5,23.6,88.4,95.0,20.5,22.8,1008.4,1012.6,1009.3,1013.5,44656,0.04465600000000000000,0.0
2019-11-10 00:00:00 +06,9.3,18.1,33.5,18.5,22.8,73.8,95.0,18.5,21.5,1005.6,1010.0,1006.5,1010.9,14283,0.01428300000000000000,0.0
2019-11-11 00:00:00 +06,3.8,7.4,13.7,20.0,27.1,66.7,95.0,19.5,23.0,1006.4,1010.7,1007.3,1011.6,151042,0.15104200000000000000,0.0
2019-11-12 00:00:00 +06,3.8,7.4,13.7,19.6,27.6,61.8,95.0,19.6,23.8,1009.8,1014.1,1010.7,1015.1,164988,0.16498800000000000000,0.0
2019-11-13 00:00:00 +06,3.4,6.6,12.2,19.1,29.6,53.3,95.0,18.8,22.9,1011.5,1015.5,1012.5,1016.5,193615,0.19361500000000000000,0.0
2019-11-14 00:00:00 +06,3.2,6.2,11.5,19.1,29.8,54.7,95.0,19.1,23.8,1011.1,1015.8,1012.1,1016.8,218040,0.21804000000000000000,0.0
2019-11-15 00:00:00 +06,3.2,6.2,11.5,19.0,29.4,48.0,95.0,17.4,23.1,1010.4,1015.0,1011.4,1016.0,209430,0.20943000000000000000,0.0
2019-11-16 00:00:00 +06,4.2,8.2,15.1,18.3,28.6,51.2,95.0,17.7,21.6,1010.2,1014.6,1011.2,1015.6,188581,0.18858100000000000000,0.0
2019-11-17 00:00:00 +06,3.6,7.0,13.0,18.8,28.6,48.2,94.7,17.2,21.7,1010.2,1014.3,1011.2,1015.3,169926,0.16992600000000000000,0.0
